[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:12.682]0 |  904 | 1 |   -1    0 | 1 |  26  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.794]0 |  904 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.885]0 |  904 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:12.983]0 |  906 | 1 |    2    0 | 1 |  29  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.085]0 |  910 | 0 |    0    1 | 1 |  29  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.183]0 |  911 | 0 |    0    2 | 1 |  26  0 | 0  0 | 10 : 9 :54 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.282]0 |  911 | 0 |    0    3 | 1 |  28  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.386]0 |  913 | 0 |    0    4 | 1 |  28  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.484]0 |  922 | 0 |    0    5 | 1 |  28  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.585]0 |  930 | 0 |    0    6 | 1 |  26  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.685]0 |  938 | 0 |    0    7 | 1 |  25  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.785]0 |  946 | 0 |    0    8 | 1 |  27  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.883]0 |  953 | 0 |    0    9 | 1 |  27  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:13.984]0 |  959 | 0 |    0   10 | 1 |  28  0 | 0  0 | 10 : 9 :55 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.095]0 |  965 | 0 |    0   11 | 1 |  28  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.186]0 |  971 | 0 |    0   12 | 1 |  28  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:14.285]0 |  977 | 0 |    0   13 | 1 |  28  0 | 0  0 | 10 : 9 :56 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
