[09:39:07.266]0 |  894 | 0 |    0    5 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.366]0 |  903 | 0 |    0    6 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.466]0 |  910 | 0 |    0    7 | 0 |  28  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.576]0 |  915 | 0 |    0    8 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.666]0 |  920 | 0 |    0    9 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.766]0 |  924 | 0 |    0   10 | 0 |  30  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.866]0 |  928 | 0 |    0   11 | 0 |  28  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:07.966]0 |  932 | 0 |    0   12 | 0 |  27  0 | 0  0 |  9 :38 :41 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.067]0 |  935 | 0 |    0   13 | 0 |  29  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.166]0 |  939 | 0 |    0   14 | 0 |  29  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
0 |  939 | 0 |    0   14 | 0 |  28  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.265]0 |  943 | 0 |    0   15 | 0 |  27  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.366]0 |  947 | 0 |    0   16 | 0 |  27  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.466]0 |  951 | 0 |    0   17 | 0 |  29  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.566]0 |  955 | 0 |    0   18 | 0 |  28  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.666]0 |  958 | 0 |    0   19 | 0 |  27  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.766]0 |  962 | 0 |    0   20 | 0 |  27  0 | 0  0 |  9 :38 :42 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.877]0 |  961 | 0 |    0   21 | 0 |  28  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:08.966]0 |  962 | 0 |    0   22 | 0 |  28  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.066]0 |  964 | 0 |    0   23 | 0 |  26  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.167]0 |  968 | 0 |    0   24 | 0 |  30  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.186]0 |  968 | 0 |    0   24 | 0 |  30  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.266]0 |  972 | 0 |    0   25 | 0 |  30  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
[09:39:09.366]0 |  966 | 0 |    0   26 | 0 |  30  0 | 0  0 |  9 :38 :43 | 3  0  3 #    5 #255 255 255 |255 255 255 # 0  0    1    0 
