[10:00:05.770]0 | 1101 | 0 |    0   11 | 0 |  24  0 | 0  0 | 10 : 2 :47 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.870]0 | 1107 | 0 |    0   12 | 0 |  26  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:05.970]0 | 1112 | 0 |    0   13 | 0 |  26  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.070]0 | 1117 | 0 |    0   14 | 0 |  23  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.170]0 | 1121 | 0 |    0   15 | 0 |  25  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.270]0 | 1126 | 0 |    0   16 | 0 |  28  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.370]0 | 1130 | 0 |    0   17 | 0 |  28  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.390]0 | 1130 | 0 |    0   17 | 0 |  28  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.470]0 | 1134 | 0 |    0   18 | 0 |  28  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.570]0 | 1138 | 0 |    0   19 | 0 |  27  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.670]0 | 1142 | 0 |    0   20 | 0 |  28  0 | 0  0 | 10 : 2 :48 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.770]0 | 1140 | 0 |    0   21 | 0 |  27  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.870]0 | 1132 | 0 |    0   22 | 0 |  27  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:06.970]0 | 1127 | 0 |    0   23 | 0 |  27  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.070]0 | 1131 | 0 |    0   24 | 0 |  29  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.170]0 | 1137 | 0 |    0   25 | 0 |  29  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.270]0 | 1140 | 0 |    0   26 | 0 |  27  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.369]0 | 1127 | 0 |    0   27 | 0 |  25  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.390]0 | 1127 | 0 |    0   27 | 0 |  25  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.470]0 | 1122 | 0 |    0   28 | 0 |  26  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.571]0 | 1118 | 0 |    0   29 | 0 |  26  0 | 0  0 | 10 : 2 :49 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.670]0 | 1115 | 0 |    0   30 | 0 |  27  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.770]0 | 1112 | 0 |    0   31 | 0 |  28  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.871]0 | 1109 | 0 |    0   32 | 0 |  30  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:07.970]0 | 1107 | 0 |    0   33 | 0 |  29  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.070]0 | 1105 | 0 |    0   34 | 0 |  26  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.170]0 | 1105 | 0 |    0   35 | 0 |  29  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.271]0 | 1104 | 0 |    0   36 | 0 |  30  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.371]0 | 1103 | 0 |    0   37 | 0 |  30  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.390]0 | 1103 | 0 |    0   37 | 0 |  30  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.470]0 | 1103 | 0 |    0   38 | 0 |  29  0 | 0  0 | 10 : 2 :50 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:08.570]0 | 1102 | 0 |    0   39 | 0 |  28  0 | 0  0 | 10 : 2 :51 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
