[09:47:09.979]0 |  801 | 0 |    0    1 | 1 |  28  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.079]0 |  804 | 0 |    0    2 | 1 |  29  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.179]0 |  805 | 0 |    0    3 | 1 |  29  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.280]0 |  804 | 0 |    0    4 | 1 |  29  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.379]0 |  810 | 0 |    0    5 | 1 |  27  0 | 0  0 |  9 :46 :44 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.479]0 |  821 | 0 |    0    6 | 1 |  25  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.579]0 |  828 | 0 |    0    7 | 1 |  28  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.679]0 |  833 | 0 |    0    8 | 1 |  28  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.779]0 |  838 | 0 |    0    9 | 1 |  28  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.879]0 |  841 | 0 |    0   10 | 1 |  30  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:10.979]0 |  842 | 0 |    0   11 | 1 |  30  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.080]0 |  841 | 0 |    0   12 | 1 |  29  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.188]0 |  840 | 0 |    0   13 | 1 |  29  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.279]0 |  839 | 0 |    0   14 | 1 |  30  0 | 0  0 |  9 :46 :45 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.379]0 |  840 | 0 |    0   15 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.479]0 |  847 | 0 |    0   16 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.579]0 |  857 | 0 |    0   17 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.679]0 |  862 | 0 |    0   18 | 1 |  30  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.780]0 |  867 | 0 |    0   19 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.890]0 |  871 | 0 |    0   20 | 1 |  28  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:11.979]0 |  872 | 0 |    0   21 | 1 |  27  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.079]0 |  873 | 0 |    0   22 | 1 |  28  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.179]0 |  877 | 0 |    0   23 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.280]0 |  881 | 0 |    0   24 | 1 |  26  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.379]0 |  879 | 0 |    0   25 | 1 |  27  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.479]0 |  871 | 0 |    0   26 | 1 |  27  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.579]0 |  868 | 0 |    0   27 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.679]0 |  866 | 0 |    0   28 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.779]0 |  865 | 0 |    0   29 | 1 |  29  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.879]0 |  865 | 0 |    0   30 | 1 |  30  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:12.979]0 |  867 | 0 |    0   31 | 1 |  30  0 | 0  0 |  9 :46 :46 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.079]0 |  871 | 0 |    0   32 | 1 |  30  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.188]0 |  876 | 0 |    0   33 | 1 |  30  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.279]0 |  880 | 0 |    0   34 | 1 |  30  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.379]0 |  882 | 0 |    0   35 | 1 |  30  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.479]0 |  878 | 0 |    0   36 | 1 |  29  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.579]0 |  871 | 0 |    0   37 | 1 |  26  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:13.679]0 |  869 | 0 |    0   38 | 1 |  26  0 | 0  0 |  9 :46 :47 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
